;;;;;;;
STOCK OPNAME 31 AGUSTUS 2025;;;;;;;
SUDIN SDA (Jakarta Barat);;;;;;;
;;;;;;;
NO;GUDANG;KODE;NAMA ITEM/OBAT;TANGGAL OLEH;SATUAN;MERK/KEMASAN;STOCK;;;JUMLAH;;;;;;;;;;;;;;;
86;Gudang Posko Kembangan;1.1.7.02.02.06.001.00158;"Socket 2""";2024-11-25;BUAH;Type AW; 20,00 
87;Gudang Posko Kembangan;1.1.7.02.02.06.001.00165;"Tee 2""";2024-11-25;BUAH;Type AW; 48,00 
88;Gudang Posko Kembangan;1.1.7.02.02.06.001.00191;"Tee 1/2""";2024-11-25;BUAH;Type AW; 44,00 
1;Gudang Pos Pengumben;1.1.7.01.01.01.015.00009;U-Ditch;2024-10-21;UNIT;Panjang Efektif 1.20 M U 400/ 600; 1,00 ;;;#REF!;;;;;;;;;;;;;;;
2;Gudang Pos Pengumben;1.1.7.01.01.01.015.00012;U-Ditch;2024-10-21;UNIT;Panjang Efektif 1.20 M U 600/ 800; 20,00 ;;;#REF!;;;;;;;;;;;;;;;
3;Gudang Pos Pengumben;1.1.7.01.01.01.015.00013;U-Ditch;2024-09-24;UNIT;Panjang Efektif 1.20 M U 800/ 800; 100,00 ;;;#REF!;;;;;;;;;;;;;;;
4;Gudang Pos Pengumben;1.1.7.01.01.01.015.00017;U-Ditch;2024-11-07;UNIT;Panjang Efektif 1.20 M U 1200/ 1200; 30,00 ;;;#REF!;;;;;;;;;;;;;;;
5;Gudang Pos Pengumben;1.1.7.01.01.01.015.00020;U-Ditch;2025-07-03;UNIT;U-Ditch 600X600 Mmx1200Mm; 246,00 ;;;#REF!;;;;;;;;;;;;;;;
6;Gudang Pos Pengumben;1.1.7.01.01.01.015.00025;Box Culvert;2022-12-31;UNIT;Bc 1200X1200 High Duty Panjang 1,00 M; 8,00 ;;;#REF!;;;;;;;;;;;;;;;
7;Gudang Pos Pengumben;1.1.7.01.01.01.015.00029;Box Culvert;2020-01-02;UNIT;Bc 1500X1500 Mm, Type Heavy Duty (Hd) Panjang 1,00 M; 20,00 ;;;#REF!;;;;;;;;;;;;;;;
8;Gudang Pos Pengumben;1.1.7.01.01.01.015.00039;Tutup U-Ditch;2024-11-07;UNIT;Tutup U-Ditch 1000 Mm, Heavy Duty (Hd); 44,00 ;;;#REF!;;;;;;;;;;;;;;;
9;Gudang Pos Pengumben;1.1.7.01.01.01.015.00056;Saluran U Ditch;2020-01-02;UNIT;Terpasang, Ukuran 1000 x 1000 mm, Mutu Beton fc 30 Mpa (K350), Pembesian, Precast / Fabrikasi; 6,00 ;;;#REF!;;;;;;;;;;;;;;;
10;Gudang Pos Pengumben;1.1.7.01.01.01.015.00057;Saluran U Ditch;2020-01-02;UNIT;Terpasang, Ukuran 1200 x 1200 mm, Mutu Beton fc 30 Mpa (K350), Pembesian, Precast / Fabrikasi; 125,00 ;;;#REF!;;;;;;;;;;;;;;;
11;Gudang Pos Pengumben;1.1.7.01.01.01.015.00095;Saluran Terbuka;2023-12-31;UNIT;Tipe U-ditch 800x800 mm Duty Panjang Efektik 1200 mm; 31,00 ;;;#REF!;;;;;;;;;;;;;;;
1;Gudang Pompa Perumnas Cengkareng;1.1.7.01.01.01.020.00006;Karung;2024-09-30;BUAH;Barang plastik anyaman ukuran 45x75 cm, 25 kg; 47.500 ;;;#REF!;;;;;;;;;;;;;;;
2;Gudang Pompa Perumnas Cengkareng;1.1.7.01.01.01.020.00006;Karung;2025-06-06;BUAH;Barang plastik anyaman ukuran 45x75 cm, 25 kg; 1.200.000 ;;;#REF!;;;;;;;;;;;;;;;
;Gudang Pompa Perumnas Cengkareng;1.1.7.01.01.01.020.00006;Karung;2025-07-02;BUAH;Barang plastik anyaman ukuran 45x75 cm, 25 kg; 300.000 ;;;-;;;;;;;;;;;;;;;
1;Gudang Pompa Tomang Barat;1.1.7.01.01.01.019.00002;Kawat Bronjong;2020-01-02;UNIT;Uk. 100 x 50 x 200; 313 ;;;#REF!;;;;;;;;;;;;;;;
2;Gudang Pompa Tomang Barat;1.1.7.01.01.01.019.00002;Kawat Bronjong;2022-04-19;UNIT;Uk. 100 x 50 x 200; 110 ;;;#REF!;;;;;;;;;;;;;;;
;;;;;;;;;;#REF!;;;;;;;;;;;;;;;
;;;;;;;;;;#REF!;;;;;;;;;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;-;-;-;;-;;-;-;;;;;;;;;;;;;;;
;;TOTAL;;;;;;; - ;#REF!;;;;;;;;;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
